out_pressure,current_by_airflow,temp_diff,efficiency,volumetric_efficiency,fan_laws_6,performance_index,air_to_power_ratio,mechanical_efficiency,air_density,air_mass_flow,air_inflow_efficiency1,air_inflow_efficiency2,motor_current_efficiency
0.0,0.31874198174493573,0.693121693121693,0.802801994465233,0.69389518635639,0.7108822163071764,0.6297025774823914,0.8028019944652331,0.6128803404026998,0.69389518635639,0.23424873206930666,0.4372527047725052,0.5980618796439178,0.7643631917671156
0.0,0.32228959145373137,0.1534391534391526,0.6021196737085655,0.5266232262296758,0.14917555755724976,0.27074945058559163,0.6021196737085655,0.9303556278297984,0.5266232262296758,0.3477257268498733,0.314433377027005,0.6916950204602802,0.5790550511019137
0.0,0.32604335073999113,0.5661375661375647,0.7448150240833432,0.6457881998951115,0.5730269414606184,0.5249578776040278,0.7448150240833433,0.701157652939621,0.6457881998951115,0.26533615063073346,0.4015805341103895,0.6368803464468372,0.7130090359866312
0.0,0.32121726485793056,0.38624338624338783,0.6781238154667805,0.5900659682668081,0.3843319704213499,0.4056399644120019,0.6781238154667806,0.8119769668046988,0.5900659682668081,0.30549774130458507,0.3606555180001906,0.6727789253696621,0.649473155863566
0.0,0.33136995395591606,0.5687830687830671,0.7430981219506231,0.6441639676338256,0.5757641523863768,0.5235880045885983,0.7430981219506232,0.6972859800653609,0.6441639676338256,0.2632433517445262,0.40096904034414116,0.6340241071459211,0.7127941289050981
0.0,0.32108896737794534,0.4470899470899452,0.6996730963014223,0.6081180596930821,0.4468448584558473,0.4436300029762881,0.6996730963014222,0.7782720034302912,0.6081180596930821,0.2935011887363842,0.37372102037985433,0.6639445276694661,0.6695499118364012
0.0,0.3283466423821024,0.17195767195767342,0.6062255644679597,0.5300817726584327,0.16701371915616647,0.27661886079985765,0.6062255644679597,0.9213143673753558,0.5300817726584327,0.34370896906056636,0.31646826475946443,0.6901146740388601,0.5844360688167929
0.0,0.32155395095514017,0.05555555555555358,0.5748990193871804,0.5039414434450417,0.052992220692743786,0.22067278692569836,0.5748990193871806,0.9764321720495224,0.5039414434450417,0.3643646736919733,0.29730418870009157,0.6952877608052107,0.5535959551383232
0.0,0.3241501419337891,0.48677248677248475,0.7137231557824087,0.6196186719849847,0.4891500895888967,0.4703192712968134,0.7137231557824089,0.751169006134066,0.6196186719849847,0.28324826137366577,0.38269745682948786,0.6544854687997383,0.6832497998927689
0.0,0.3218376123321782,0.18783068783068924,0.6138319998810289,0.536443273299439,0.1834272645947408,0.2896486572982291,0.6138319998810289,0.9156069386420611,0.536443273299439,0.3425643388491927,0.32094229581298905,0.6915039247122536,0.5898857167862974
0.0,0.3259432205896333,0.3518518518518503,0.6630243858277145,0.5774272668305396,0.34815944731369086,0.3800181162215355,0.6630243858277145,0.8297786528865821,0.5774272668305396,0.31125299889355507,0.3518496603106215,0.6752275814182811,0.6366763084872094
0.0,0.33064686851580083,0.7857142857142838,0.8443303589362496,0.7286518772684492,0.814842582346067,0.706678500574077,0.8443303589362499,0.5333337593456636,0.7286518772684492,0.20479964843057757,0.4636965076017395,0.5526277389155247,0.8070477875059237
0.0,0.3236963592971076,0.3941798941798922,0.6797161446214596,0.5914423224980693,0.39225488341776327,0.408722746196575,0.6797161446214597,0.8070108083480909,0.5914423224980693,0.30346637327335724,0.3617467719137357,0.6710163637816322,0.6516953556157734
0.0,0.3224262655182817,0.30952380952380754,0.6508115651635021,0.5672222970177703,0.30520372343942626,0.356953244642662,0.6508115651635022,0.8541969740801212,0.5672222970177703,0.3204132524138474,0.3439387643464573,0.6815014619848878,0.6243446886848176
0.0,0.3209165746936953,0.10317460317460547,0.5894232355698349,0.5160045271007581,0.10001131541594788,0.24593997669128087,0.589423235569835,0.9552682938065025,0.5160045271007581,0.3568054822541027,0.3059175370352707,0.6949852933288536,0.5668813279464986
0.0,0.32798637319804547,0.21957671957672087,0.6200717212113181,0.5417035814916847,0.2141330621261801,0.30198913894917,0.6200717212113183,0.898497355859792,0.5417035814916847,0.3356839775401753,0.3252089889005343,0.6873597455609474,0.5973272580179392
0.0,0.31962288282945117,0.5211640211640196,0.7280777875142547,0.6317906964606224,0.5250837615056483,0.49599373167308936,0.7280777875142548,0.7319929913936035,0.6317906964606224,0.2770489830275256,0.39163578989713776,0.6490263921336842,0.6954920269460265
0.0,0.31675903704692665,0.7936507936507935,0.8528081985317028,0.7357220645744015,0.8233300815293134,0.7219909878787782,0.8528081985317029,0.5309530065668101,0.7357220645744015,0.2050944589531727,0.46893864239169414,0.5524393725325242,0.8102508338179975
